label,text_a,text_b
1,phone#design_features,今天有幸拿到了港版白色iPhone 5真机，试玩了一下，说说感受吧：1. 真机尺寸宽度与4/4s保持一致没有变化，长度多了大概一厘米，也就是之前所说的多了一排的图标。2. 真机重量比上一代轻了很多，个人感觉跟i9100的重量差不多。（用惯上一代的朋友可能需要一段时间适应了）3. 由于目前还没有版的SIM卡，无法插卡使用，有购买的朋友要注意了，并非简单的剪卡就可以用，而是需要去运营商更换新一代的SIM卡。4. 屏幕显示效果确实比上一代有进步，不论是从清晰度还是不同角度的视角，iPhone 5绝对要更上一层，我想这也许是相对上一代最有意义的升级了。5. 新的数据接口更小，比上一代更好用更方便，使用的过程会有这样的体会。6. 从简单的几个操作来讲速度比4s要快，这个不用测试软件也能感受出来，比如程序的调用以及照片的拍摄和浏览。不过，目前水货市场上坑爹的价格，最好大家可以再观望一下，不要急着出手。
1,display#quality,今天有幸拿到了港版白色iPhone 5真机，试玩了一下，说说感受吧：1. 真机尺寸宽度与4/4s保持一致没有变化，长度多了大概一厘米，也就是之前所说的多了一排的图标。2. 真机重量比上一代轻了很多，个人感觉跟i9100的重量差不多。（用惯上一代的朋友可能需要一段时间适应了）3. 由于目前还没有版的SIM卡，无法插卡使用，有购买的朋友要注意了，并非简单的剪卡就可以用，而是需要去运营商更换新一代的SIM卡。4. 屏幕显示效果确实比上一代有进步，不论是从清晰度还是不同角度的视角，iPhone 5绝对要更上一层，我想这也许是相对上一代最有意义的升级了。5. 新的数据接口更小，比上一代更好用更方便，使用的过程会有这样的体会。6. 从简单的几个操作来讲速度比4s要快，这个不用测试软件也能感受出来，比如程序的调用以及照片的拍摄和浏览。不过，目前水货市场上坑爹的价格，最好大家可以再观望一下，不要急着出手。
1,ports#connectivity,今天有幸拿到了港版白色iPhone 5真机，试玩了一下，说说感受吧：1. 真机尺寸宽度与4/4s保持一致没有变化，长度多了大概一厘米，也就是之前所说的多了一排的图标。2. 真机重量比上一代轻了很多，个人感觉跟i9100的重量差不多。（用惯上一代的朋友可能需要一段时间适应了）3. 由于目前还没有版的SIM卡，无法插卡使用，有购买的朋友要注意了，并非简单的剪卡就可以用，而是需要去运营商更换新一代的SIM卡。4. 屏幕显示效果确实比上一代有进步，不论是从清晰度还是不同角度的视角，iPhone 5绝对要更上一层，我想这也许是相对上一代最有意义的升级了。5. 新的数据接口更小，比上一代更好用更方便，使用的过程会有这样的体会。6. 从简单的几个操作来讲速度比4s要快，这个不用测试软件也能感受出来，比如程序的调用以及照片的拍摄和浏览。不过，目前水货市场上坑爹的价格，最好大家可以再观望一下，不要急着出手。
1,cpu#operation_performance,今天有幸拿到了港版白色iPhone 5真机，试玩了一下，说说感受吧：1. 真机尺寸宽度与4/4s保持一致没有变化，长度多了大概一厘米，也就是之前所说的多了一排的图标。2. 真机重量比上一代轻了很多，个人感觉跟i9100的重量差不多。（用惯上一代的朋友可能需要一段时间适应了）3. 由于目前还没有版的SIM卡，无法插卡使用，有购买的朋友要注意了，并非简单的剪卡就可以用，而是需要去运营商更换新一代的SIM卡。4. 屏幕显示效果确实比上一代有进步，不论是从清晰度还是不同角度的视角，iPhone 5绝对要更上一层，我想这也许是相对上一代最有意义的升级了。5. 新的数据接口更小，比上一代更好用更方便，使用的过程会有这样的体会。6. 从简单的几个操作来讲速度比4s要快，这个不用测试软件也能感受出来，比如程序的调用以及照片的拍摄和浏览。不过，目前水货市场上坑爹的价格，最好大家可以再观望一下，不要急着出手。
1,display#quality,1，外观上，iPhone5不是用来ZB的，所以别人看不看得出来，并不是我关心的问题。4寸的屏幕，体验还不错，但更轻薄这一点，非常喜欢。至于所谓的质感，跟前后面玻璃的确实有不同，但5的手感也是相当的给力，比起有些塑料壳子的强不知道多少倍。2，iOS6在iPhone5上的体验，还是相当完善的，没有4S的各种闪退。全景照片真的很爽!3，前置摄像头，清晰了很多，但用处并不是特别大，自拍的癖好木有....4，背面的镜头感觉提升了一些，但不太明显，不过对于我这种非摄影发烧友，足足够够了，各位别指望跟单反比，要冷静。5，小接口，非常喜欢。因为我的周边不多，所以几乎不影响。小接口没有正反面，而且插入的那个感觉还是不错的。6，电池，1天1充，这个貌似没什么可抱怨的。充电速度很满意，另外我有移动电源，随时用随时充就可以了。7，掉漆问题，白色的不明显，我自己还没发现。用的时候略微注意点就好，至于半年之后可能掉不掉也不关心了。手机是买来用的，不是收藏品。8，网上反馈的那些问题，我这里就偶尔出现花屏现象，尤其在App Store调用输入法时，貌似iOS6的问题，等待更新吧。其他的均没有发现，应该是极小概率事件了。9，App应用仍然很给力，从一个App是否立刻更新支持iPhone5，能看出一定的态度。当然，iPhone5还是小众，可以不在乎，呵呵。10，耳机，效果不错，放在耳朵里的感觉也比较舒服，长时间佩戴无痛感。
1,phone#design_features,1，外观上，iPhone5不是用来ZB的，所以别人看不看得出来，并不是我关心的问题。4寸的屏幕，体验还不错，但更轻薄这一点，非常喜欢。至于所谓的质感，跟前后面玻璃的确实有不同，但5的手感也是相当的给力，比起有些塑料壳子的强不知道多少倍。2，iOS6在iPhone5上的体验，还是相当完善的，没有4S的各种闪退。全景照片真的很爽!3，前置摄像头，清晰了很多，但用处并不是特别大，自拍的癖好木有....4，背面的镜头感觉提升了一些，但不太明显，不过对于我这种非摄影发烧友，足足够够了，各位别指望跟单反比，要冷静。5，小接口，非常喜欢。因为我的周边不多，所以几乎不影响。小接口没有正反面，而且插入的那个感觉还是不错的。6，电池，1天1充，这个貌似没什么可抱怨的。充电速度很满意，另外我有移动电源，随时用随时充就可以了。7，掉漆问题，白色的不明显，我自己还没发现。用的时候略微注意点就好，至于半年之后可能掉不掉也不关心了。手机是买来用的，不是收藏品。8，网上反馈的那些问题，我这里就偶尔出现花屏现象，尤其在App Store调用输入法时，貌似iOS6的问题，等待更新吧。其他的均没有发现，应该是极小概率事件了。9，App应用仍然很给力，从一个App是否立刻更新支持iPhone5，能看出一定的态度。当然，iPhone5还是小众，可以不在乎，呵呵。10，耳机，效果不错，放在耳朵里的感觉也比较舒服，长时间佩戴无痛感。
1,multimedia_devices#design_features,1，外观上，iPhone5不是用来ZB的，所以别人看不看得出来，并不是我关心的问题。4寸的屏幕，体验还不错，但更轻薄这一点，非常喜欢。至于所谓的质感，跟前后面玻璃的确实有不同，但5的手感也是相当的给力，比起有些塑料壳子的强不知道多少倍。2，iOS6在iPhone5上的体验，还是相当完善的，没有4S的各种闪退。全景照片真的很爽!3，前置摄像头，清晰了很多，但用处并不是特别大，自拍的癖好木有....4，背面的镜头感觉提升了一些，但不太明显，不过对于我这种非摄影发烧友，足足够够了，各位别指望跟单反比，要冷静。5，小接口，非常喜欢。因为我的周边不多，所以几乎不影响。小接口没有正反面，而且插入的那个感觉还是不错的。6，电池，1天1充，这个貌似没什么可抱怨的。充电速度很满意，另外我有移动电源，随时用随时充就可以了。7，掉漆问题，白色的不明显，我自己还没发现。用的时候略微注意点就好，至于半年之后可能掉不掉也不关心了。手机是买来用的，不是收藏品。8，网上反馈的那些问题，我这里就偶尔出现花屏现象，尤其在App Store调用输入法时，貌似iOS6的问题，等待更新吧。其他的均没有发现，应该是极小概率事件了。9，App应用仍然很给力，从一个App是否立刻更新支持iPhone5，能看出一定的态度。当然，iPhone5还是小众，可以不在乎，呵呵。10，耳机，效果不错，放在耳朵里的感觉也比较舒服，长时间佩戴无痛感。
1,multimedia_devices#quality,1，外观上，iPhone5不是用来ZB的，所以别人看不看得出来，并不是我关心的问题。4寸的屏幕，体验还不错，但更轻薄这一点，非常喜欢。至于所谓的质感，跟前后面玻璃的确实有不同，但5的手感也是相当的给力，比起有些塑料壳子的强不知道多少倍。2，iOS6在iPhone5上的体验，还是相当完善的，没有4S的各种闪退。全景照片真的很爽!3，前置摄像头，清晰了很多，但用处并不是特别大，自拍的癖好木有....4，背面的镜头感觉提升了一些，但不太明显，不过对于我这种非摄影发烧友，足足够够了，各位别指望跟单反比，要冷静。5，小接口，非常喜欢。因为我的周边不多，所以几乎不影响。小接口没有正反面，而且插入的那个感觉还是不错的。6，电池，1天1充，这个貌似没什么可抱怨的。充电速度很满意，另外我有移动电源，随时用随时充就可以了。7，掉漆问题，白色的不明显，我自己还没发现。用的时候略微注意点就好，至于半年之后可能掉不掉也不关心了。手机是买来用的，不是收藏品。8，网上反馈的那些问题，我这里就偶尔出现花屏现象，尤其在App Store调用输入法时，貌似iOS6的问题，等待更新吧。其他的均没有发现，应该是极小概率事件了。9，App应用仍然很给力，从一个App是否立刻更新支持iPhone5，能看出一定的态度。当然，iPhone5还是小众，可以不在乎，呵呵。10，耳机，效果不错，放在耳朵里的感觉也比较舒服，长时间佩戴无痛感。
1,multimedia_devices#design_features,1，外观上，iPhone5不是用来ZB的，所以别人看不看得出来，并不是我关心的问题。4寸的屏幕，体验还不错，但更轻薄这一点，非常喜欢。至于所谓的质感，跟前后面玻璃的确实有不同，但5的手感也是相当的给力，比起有些塑料壳子的强不知道多少倍。2，iOS6在iPhone5上的体验，还是相当完善的，没有4S的各种闪退。全景照片真的很爽!3，前置摄像头，清晰了很多，但用处并不是特别大，自拍的癖好木有....4，背面的镜头感觉提升了一些，但不太明显，不过对于我这种非摄影发烧友，足足够够了，各位别指望跟单反比，要冷静。5，小接口，非常喜欢。因为我的周边不多，所以几乎不影响。小接口没有正反面，而且插入的那个感觉还是不错的。6，电池，1天1充，这个貌似没什么可抱怨的。充电速度很满意，另外我有移动电源，随时用随时充就可以了。7，掉漆问题，白色的不明显，我自己还没发现。用的时候略微注意点就好，至于半年之后可能掉不掉也不关心了。手机是买来用的，不是收藏品。8，网上反馈的那些问题，我这里就偶尔出现花屏现象，尤其在App Store调用输入法时，貌似iOS6的问题，等待更新吧。其他的均没有发现，应该是极小概率事件了。9，App应用仍然很给力，从一个App是否立刻更新支持iPhone5，能看出一定的态度。当然，iPhone5还是小众，可以不在乎，呵呵。10，耳机，效果不错，放在耳朵里的感觉也比较舒服，长时间佩戴无痛感。
1,power_supply#quality,1，外观上，iPhone5不是用来ZB的，所以别人看不看得出来，并不是我关心的问题。4寸的屏幕，体验还不错，但更轻薄这一点，非常喜欢。至于所谓的质感，跟前后面玻璃的确实有不同，但5的手感也是相当的给力，比起有些塑料壳子的强不知道多少倍。2，iOS6在iPhone5上的体验，还是相当完善的，没有4S的各种闪退。全景照片真的很爽!3，前置摄像头，清晰了很多，但用处并不是特别大，自拍的癖好木有....4，背面的镜头感觉提升了一些，但不太明显，不过对于我这种非摄影发烧友，足足够够了，各位别指望跟单反比，要冷静。5，小接口，非常喜欢。因为我的周边不多，所以几乎不影响。小接口没有正反面，而且插入的那个感觉还是不错的。6，电池，1天1充，这个貌似没什么可抱怨的。充电速度很满意，另外我有移动电源，随时用随时充就可以了。7，掉漆问题，白色的不明显，我自己还没发现。用的时候略微注意点就好，至于半年之后可能掉不掉也不关心了。手机是买来用的，不是收藏品。8，网上反馈的那些问题，我这里就偶尔出现花屏现象，尤其在App Store调用输入法时，貌似iOS6的问题，等待更新吧。其他的均没有发现，应该是极小概率事件了。9，App应用仍然很给力，从一个App是否立刻更新支持iPhone5，能看出一定的态度。当然，iPhone5还是小众，可以不在乎，呵呵。10，耳机，效果不错，放在耳朵里的感觉也比较舒服，长时间佩戴无痛感。
